,단어,빈도
371,경찰에,1
372,경찰은,2
373,경찰이,1
374,경향닷컴,1
375,경향신문,1
376,계기로,1
377,계속,8
378,계속되는,1
379,계속되면서,1
380,계속될,1
381,계속하기로,1
382,계속하면서,1
383,계속할,1
384,계속해서,1
385,계약이,1
386,계절,1
387,계정을,2
388,계획,1
389,계획도,1
390,계획에,2
391,계획을,1
392,계획이,1
393,계획이라고,2
394,계획인,1
395,계획입니다,1
396,계획하고,1
397,고객들에게,1
398,고객들이,2
399,고공행진,1
400,고공행진이,1
401,고국인,1
402,고대하고,2
403,고려한,1
404,고려할,1
405,고려해,1
406,고루,1
407,고르지,1
408,고립,1
409,고문과,1
410,고문은,1
411,고문하고,1
412,고미혜,3
413,고보르가,1
414,고석현,1
415,고속도로에서,1
416,고수하기로,1
417,고시하는,1
418,고액,2
419,고용도,1
420,고용을,1
421,고위,4
422,고위층,1
423,고유가가,1
424,고유가로,2
425,고정밀,1
426,고조하는,1
427,고향입니다,1
428,곡물가,1
429,곡물가가,1
430,곤란을,1
431,골드만삭스와,1
432,골든,2
433,골든부츠를,1
434,골라,1
435,골을,1
436,곳의,1
437,곳이,2
438,곳이다,1
439,곳이었습니다,1
440,곳입니다,1
441,공감대를,1
442,공감언론,31
443,공감했지만,1
444,공개돼,1
445,공개되자,2
446,공개적으로,1
447,공개하지,3
448,공개하진,1
449,공개한,1
450,공개했다,1
451,공격,1
452,공격으로,1
453,공격은,1
454,공격을,2
455,공격적인,1
456,공고,1
457,공고문을,1
458,공공,1
459,공공안전에,1
460,공군기지를,1
461,공급,3
462,공급난,1
463,공급망,5
464,공급망의,1
465,공급망이,2
466,공급제약과,1
467,공급하는,1
468,공급한다면,1
469,공동기자회견을,1
470,공방을,1
471,공사를,1
472,공세가,1
473,공습으로,1
474,공식,4
475,공안국,1
476,공안국이,1
477,공안당국은,1
478,공안은,2
479,공안이,1
480,공약도,1
481,공약을,1
482,공언해,1
483,공언했다,2
484,공언했던,1
485,공용통화로,1
486,공원에서,1
487,공원을,1
488,공장,1
489,공장에서,2
490,공장을,3
491,공존하는,1
492,공터에는,1
493,공포에서,1
494,공항,7
495,공항에서,3
496,공항으로,3
497,공항을,1
498,공화당,1
499,과거,2
500,과거에,1
501,과거에는,2
502,과거와는,1
503,과기일보는,1
504,과반,1
505,과반을,1
506,과소평가해서는,1
507,과일인,1
508,과적된,1
509,과정에,1
510,과정에서,4
511,과제다,1
512,과제로,1
513,과제를,1
514,과학계에서,1
515,관객들은,1
516,관계가,3
517,관계는,1
518,관계에,1
519,관계에서,1
520,관계였던,1
521,관계의,1
522,관계자,1
523,관계자는,6
524,관계자들을,1
525,관계자로,1
526,관광,1
527,관광객들이,1
528,관광객을,1
529,관광단체들은,1
530,관련된,3
531,관련이,1
532,관련한,2
533,관련해,5
534,관련해서는,1
535,관련해서도,1
536,관리는,1
537,관리를,1
538,관리방안,1
539,관리하고,2
540,관리하기,1
541,관방장관은,1
542,관방장관이,1
543,관세,1
544,관세가,1
545,관세를,1
546,관심도는,1
547,관심이,2
548,관여를,1
549,관영,4
550,관영매체,1
551,관저에서,1
552,관찰대상국,2
553,관찰대상국에,3
554,관찰대상국으로,5
555,관찰자망에,2
556,관측을,1
557,관측이,2
558,관측이다,1
559,관해,2
560,관해서,1
561,관현악단이,1
562,광고료,2
563,광릉숲,1
564,광장에,2
565,괴롭히면서,1
566,굉장히,2
567,교란한,1
568,교류에,1
569,교수팀이,1
570,교역국,1
571,교역국의,1
572,교육과학문화기구,1
573,교육을,1
574,교착,1
575,교토,2
576,교토부,7
577,교토부와,2
578,교통,1
579,교환이,2
580,구가,1
581,구글,1
582,구글은,1
583,구글을,1
584,구금되고,1
585,구급,2
586,구급대의,1
587,구로다,1
588,구를,2
589,구마모토현,1
590,구매할,1
591,구상,1
592,구성돼있다,1
593,구이저우성에,1
594,구이저우성의,1
595,구인지,1
596,구조돼,1
597,구조된,1
598,구조조정,1
599,구체적인,3
600,구축,1
601,구축도,1
602,구축하는,1
603,구축했었지만,1
604,구타,1
605,구타를,2
606,구타해서도,1
607,구형,1
608,국가,4
609,국가가,3
610,국가는,2
611,국가들과,1
612,국가들이,1
613,국가발전개혁위는,1
614,국가발전개혁위원회는,1
615,국가안보보좌관이,1
616,국가안보회의,1
617,국가에,1
618,국가에서도,2
619,국가이다,1
620,국가주석이,2
621,국경,2
622,국고로,1
623,국권,1
624,국내,7
625,국내외,1
626,국내총생산,3
627,국면에서도,1
628,국무위원장은,1
629,국무장관,1
630,국무장관이,1
631,국민과,1
632,국민들에게,1
633,국민의,2
634,국방,1
635,국방당국,1
636,국방부,1
637,국방부가,1
638,국방부를,1
639,국방부장,1
640,국방부장은,1
641,국방수장은,2
642,국방장관과,2
643,국방장관이,6
644,국영,4
645,국왕의,2
646,국익,1
647,국익을,1
648,국장은,1
649,국장이,1
650,국적의,1
651,국정,2
652,국제,13
653,국제경제,1
654,국제공항에서,1
