,단어,빈도
355,강병원,5
356,강보현,1
357,강사,2
358,강서을,2
359,강석민,2
360,강성,12
361,강성당원들의,1
362,강성지지자들께서,1
363,강수량은,1
364,강수련,1
365,강승우,2
366,강신업,6
367,강신업이,1
368,강에,1
369,강연,1
370,강영호,1
371,강요,2
372,강요로,2
373,강요받고,2
374,강요하는,1
375,강요하는데,1
376,강요한,1
377,강용석,5
378,강용식,1
379,강원도가,1
380,강원도는,1
381,강원도로는,1
382,강원도지사가,1
383,강원도청사,1
384,강을,1
385,강인선,4
386,강점을,1
387,강정마을,1
388,강제로,3
389,강제수사,1
390,강조되고,1
391,강조되어야,1
392,강조를,1
393,강조하고,2
394,강조하고자,2
395,강조하는,1
396,강조하며,2
397,강조하면서,1
398,강조하면서도,1
399,강조하시던데,1
400,강조하신,1
401,강조한,2
402,강조할,1
403,강조해,1
404,강조해온,1
405,강조했고,1
406,강조했다,34
407,강조했던,1
408,강조했습니다,20
409,강주리,1
410,강진구,2
411,강하게,9
412,강하다,1
413,강하면,1
414,강한,17
415,강할수록,1
416,강해질,1
417,강행,4
418,강행과,1
419,강행된,1
420,강행에,1
421,강행을,2
422,강행의,1
423,강행하게,1
424,강행하겠다는,1
425,강행하기에,1
426,강행하면,1
427,강행한,2
428,강행할,4
429,강행했겠나,1
430,강행했는데,1
431,강행했습니다,1
432,강행했을,1
433,강호진,1
434,강화,8
435,강화가,1
436,강화는,1
437,강화됐다고,1
438,강화될,1
439,강화라든지,1
440,강화로,1
441,강화를,7
442,강화에,2
443,강화입니다,1
444,강화하겠다고,1
445,강화하겠다는,1
446,강화하고,4
447,강화하기,2
448,강화하는,5
449,강화하려고,1
450,강화하려는,2
451,강화하면서,1
452,강화한,7
453,강화할,2
454,강효상,1
455,강훈식,2
456,갖게,1
457,갖겠어,1
458,갖기로,1
459,갖는,6
460,갖다,1
461,갖다가,1
462,갖추지,1
463,갖춰,1
464,갖춰야,1
465,갖췄다,1
466,같거든요,1
467,같고,14
468,같고요,18
469,같기도,1
470,같네,1
471,같다고,2
472,같다는,4
473,같다면서도,1
474,같단,1
475,같습니까,3
476,같습니다,44
477,같습니다라는,1
478,같습니다마는,1
479,같아라고,1
480,같아서,4
481,같아요,37
482,같으면,1
483,같은날,2
484,같은데,16
485,같은데요,7
486,같이하는,1
487,같지,1
488,같지는,2
489,개가,2
490,개괄적으로,1
491,개괄적인,1
492,개국,2
493,개국과,1
494,개년,1
495,개념과,1
496,개는,1
497,개다,1
498,개량,1
499,개량에,1
500,개량하고,18
501,개를,4
502,개막식에서,1
503,개막을,1
504,개발,4
505,개발과,1
506,개발에,1
507,개발하면서,1
508,개방과,1
509,개방된,1
510,개방적,1
511,개방적인,1
512,개방형,1
513,개별,2
514,개선,8
515,개선과제를,1
516,개선된다,1
517,개선방안을,2
518,개선보다,1
519,개선안에서,1
520,개선안을,1
521,개선은,1
522,개선을,6
523,개선하기,1
524,개선하기로,2
525,개선하는,2
526,개선한다,1
527,개선한다고,1
528,개설된,1
529,개설하고,1
530,개설했다,1
531,개설허가,1
532,개성시를,1
533,개성으로,1
534,개시가,1
535,개시는,1
536,개시였다,3
537,개시하면,1
538,개연성으로,1
539,개원하며,1
540,개월,24
541,개월간,4
542,개월로,2
543,개월밖에,1
544,개월이냐,1
545,개월이었다,1
546,개의,25
547,개의를,1
548,개이며,1
549,개인,6
550,개인의,2
551,개인이,2
552,개인이나,1
553,개인적으로,8
554,개인적인,2
555,개인정보,1
556,개인정보라,1
557,개인정보를,2
558,개인정보보호법에,1
559,개입,2
560,개입된,1
561,개입은,2
562,개입이,3
563,개입하게,1
564,개입하는,1
565,개입하면,1
566,개입하지마라고,1
567,개입한다면,1
568,개입할,6
569,개입해서,1
570,개점휴업,3
571,개정,6
572,개정도,1
573,개정돼,1
574,개정안,5
575,개정안들이,2
576,개정안은,1
577,개정안을,4
578,개정안이,1
579,개정안입니다,1
580,개정을,2
581,개정이,2
582,개정하기로,1
583,개정하도록,1
584,개정한,1
585,개정할,1
586,개정해,5
587,개정해서,1
588,개정해야,1
589,개진해달라고,1
590,개천,1
591,개최,3
592,개최되면,1
593,개최된,3
594,개최된지,1
595,개최를,2
596,개최하였다,6
597,개최한,1
598,개최해,1
599,개최했다,3
600,개최했습니다,1
601,개통,1
602,개편,1
603,개편을,2
604,개헌으로,1
605,개헌해야,1
606,개혁,9
607,개혁과,3
608,개혁까지,1
609,개혁도,1
610,개혁성과보고회에서,1
611,개혁안,1
612,개혁으로,2
613,개혁은,1
614,개혁을,12
615,개혁의,6
616,개혁이,2
617,개혁이나,1
618,개혁이다,1
619,개혁이라든가,1
620,개혁적인,2
621,개혁파,1
622,개혁하고,1
623,개혁하는,2
624,개혁할,1
625,개혁해야,1
626,개회사를,1
627,객관적인,1
628,객관화시키는,1
629,객원기자,1
630,갤럽,1
631,갤럽이,2
632,갭,4
633,갭투기,1
634,갱도를,3
635,갸우뚱,1
636,거거든요,12
637,거겠죠,1
638,거고,14
639,거고요,10
640,거군요,1
641,거기,3
642,거기는,1
643,거기서,7
644,거기에,20
645,거기에는,1
646,거기에서,3
647,거꾸로,1
648,거나,1
649,거냐,17
650,거냐고,1
651,거냐는,2
652,거는,2
653,거니까,3
654,거다,16
655,거다라고,2
656,거다라는,1
657,거대,2
658,거대담론을,1
659,거두었는데,1
660,거둬들이고,1
661,거뒀는데,1
662,거들어줘야,1
663,거들었는데요,1
664,거듭,12
665,거듭나기를,1
666,거듭난,1
667,거듭된,2
668,거듭하는,1
669,거듭했지만,1
670,거라,1
671,거라고,27
672,거라는,1
673,거라며,1
674,거라면,1
675,거란,3
676,거랑,1
677,거래,5
678,거래금액,2
679,거래량을,1
680,거래로,2
681,거래를,1
682,거래물량,1
683,거래방식으로,1
684,거래소,1
685,거래소들은,2
686,거래소들의,1
687,거래소들이,2
688,거로,1
689,거론되고,4
690,거론되는,6
691,거론되다,1
692,거론되면서,1
693,거론된,1
694,거론된다,1
695,거론이,1
696,거론하며,3
697,거론하지,1
698,거론한,8
699,거를,1
700,거리,1
701,거리가,1
702,거리는,1
703,거리를,5
704,거며,1
705,거면,2
706,거부,1
707,거부감을,1
708,거부감이,1
709,거부권,2
710,거부권을,3
711,거부로,1
712,거부를,1
713,거부하고,1
714,거부하는,1
715,거부했습니다,1
716,거세다,1
717,거세지만,1
718,거센,3
719,거스른,1
720,거실에서,1
721,거야,2
722,거야라는,1
723,거야말로,3
724,거에,1
725,거에서,1
726,거였는지,1
727,거예요,19
728,거잖아요,8
729,거점센터,1
730,거점형,1
731,거죠,42
732,거지,4
733,거지냐,1
734,거지만,1
735,거짓,3
736,거짓과,1
737,거짓된,1
738,거쳐,7
739,거쳐서,1
740,거쳐야,3
741,거취,1
742,거치도록,1
743,거치면서,1
744,거치지,4
745,거친,3
746,거칠어지는,1
747,거침없이,1
748,거행했다면서,1
749,걱정,1
750,걱정도,3
751,걱정스럽다,1
752,걱정이,2
753,걱정입니다,1
754,걱정하는,1
755,건가,3
756,건가요,4
757,건강,2
758,건강하게,1
759,건강한,3
760,건건이,1
761,건국대,3
762,건너,2
763,건너갔는데,1
764,건너뛰는걸,1
765,건너야,1
766,건네,1
767,건데,24
768,건데요,2
769,건도,2
770,건물이라,3
771,건배하고,1
772,건사랑,2
773,건사모클럽,1
774,건설,2
775,건설과,1
776,건설적인,1
777,건설할,1
778,건수,1
779,건으로,1
780,건은,2
781,건을,3
782,건의,5
783,건의안에는,1
784,건의안을,2
785,건의할,1
786,건의했을,1
787,건의했지만,1
788,건이,2
789,건전한,1
790,건지,4
791,건지도,1
792,건진법사,1
793,건희,2
794,건희사랑,5
795,걷기,2
796,걷는,1
797,걷지,2
798,걸,28
799,걸겠습니다,2
800,걸고,5
801,걸듯이,4
802,걸러내는,1
803,걸레는,1
804,걸레다,1
805,걸려,2
806,걸로,7
807,걸리는,1
808,걸리지,1
